"playerID","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP"
"abbotgl01",1983,2,"DET","AL",2,1,7,7,1,1,0,140,43,10,5,7,11,0.24,1.93,1,2,0,0,186,0,12,,,
"abbotgl01",1984,1,"DET","AL",3,4,13,8,1,0,0,132,62,29,9,8,8,0.32,5.93,1,1,2,0,206,2,39,,,
"abbotji01",1989,1,"CAL","AL",12,12,29,29,4,2,0,544,190,79,13,74,115,0.27,3.92,3,8,4,2,788,0,95,,,
"abbotji01",1990,1,"CAL","AL",10,14,33,33,4,1,0,635,246,106,16,72,105,0.29,4.51,6,4,5,3,925,0,116,,,
"abbotji01",1991,1,"CAL","AL",18,11,34,34,5,1,0,729,222,78,14,73,158,0.24,2.89,6,1,5,4,1002,0,85,,,
"abbotji01",1992,1,"CAL","AL",7,15,29,29,7,0,0,633,208,65,12,68,130,0.26,2.77,3,2,4,0,874,0,73,,,
"abbotji01",1993,1,"NYA","AL",11,14,32,32,4,1,0,642,221,104,22,73,95,0.27,4.37,4,9,3,0,906,0,115,,,
"abbotji01",1994,1,"NYA","AL",9,8,24,24,2,0,0,481,167,81,24,64,90,0.25,4.55,1,8,2,1,692,0,88,,,
"abbotji01",1995,1,"CHA","AL",6,4,17,17,3,0,0,337,116,42,10,35,45,0.26,3.36,1,0,1,0,474,0,50,,,
"abbotji01",1995,2,"CAL","AL",5,4,13,13,1,1,0,254,93,39,4,29,41,0.27,4.15,0,1,1,0,368,0,43,,,
"abbotji01",1996,1,"CAL","AL",2,18,27,23,1,0,0,426,171,118,23,78,58,0.26,7.48,3,13,4,1,654,2,128,,,
"abbotji01",1998,1,"CHA","AL",5,0,5,5,0,0,0,95,35,16,2,12,14,,4.55,0,0,1,0,134,0,16,,,
"abbotji01",1999,1,"MIL","NL",2,8,20,15,0,0,0,246,110,63,14,42,37,0.00,6.91,3,7,2,0,394,3,71,,,
"abbotky01",1991,1,"CAL","AL",1,2,5,3,0,0,0,59,22,10,2,13,12,0.30,4.58,0,1,1,1,90,0,11,,,
"abbotky01",1992,1,"PHI","NL",1,14,31,19,0,0,0,400,147,76,20,45,88,0.28,5.13,0,9,1,1,577,0,80,,,
"abbotky01",1995,1,"PHI","NL",2,0,18,0,0,0,0,85,28,12,3,16,21,0.26,3.81,0,2,0,1,122,3,12,,,
"abbotky01",1996,1,"CAL","AL",0,1,3,0,0,0,0,12,10,9,1,5,3,0.38,20.25,0,1,0,0,26,1,9,,,
"abbotpa01",1990,1,"MIN","AL",0,5,7,7,0,0,0,104,37,23,0,28,25,0.28,5.97,0,1,1,0,162,0,24,,,
"abbotpa01",1991,1,"MIN","AL",3,1,15,3,0,0,0,142,38,25,5,36,43,0.23,4.75,1,5,0,0,210,1,27,,,
"abbotpa01",1992,1,"MIN","AL",0,0,6,0,0,0,0,33,12,4,1,5,13,0.27,3.27,0,1,1,0,50,5,4,,,
"abbotpa01",1993,1,"CLE","AL",0,1,5,5,0,0,0,55,19,13,5,11,7,0.26,6.38,1,1,0,0,84,0,15,,,
"abbotpa01",1998,1,"SEA","AL",3,1,4,4,0,0,0,74,24,11,2,10,22,,4.01,0,3,0,0,105,0,11,,,
"abbotpa01",1999,1,"SEA","AL",6,2,25,7,0,0,0,218,50,25,9,32,68,0.00,3.10,3,2,0,0,298,8,31,,,
"abbotpa01",2000,1,"SEA","AL",9,7,35,27,0,0,0,537,164,84,23,80,100,0.00,4.22,4,3,5,0,766,2,89,,,
"abbotpa01",2001,1,"SEA","AL",17,4,28,27,1,0,0,489,145,77,21,87,118,,4.25,5,11,7,0,710,0,79,,,
"abbotpa01",2002,1,"SEA","AL",1,3,7,5,0,0,0,79,40,35,5,20,22,,11.96,0,2,1,0,137,1,36,,,
"abbotpa01",2003,1,"KCA","AL",1,2,10,8,0,0,0,143,47,28,8,26,32,0.25,5.29,2,2,2,0,214,0,29,,,
"abbotpa01",2004,1,"TBA","AL",2,5,10,9,0,0,0,141,49,35,8,27,25,0.25,6.70,0,3,3,0,222,0,39,,,
"abbotpa01",2004,2,"PHI","NL",1,6,10,10,0,0,0,147,57,34,14,31,21,0.29,6.24,1,3,1,0,229,0,37,,,
